Date;Open;High;Low;Close;Average
28-1-2008;12.205.709.961;12.767.740.234;12.112.139.648;12.743.190.430;12.474.450.196
4-2-2008;12.743.110.352;12.749.780.273;12.103.370.117;12.182.129.883;12.462.620.118
11-2-2008;12.181.889.648;12.573.129.883;12.069.469.727;12.348.209.961;12.265.049.805
18-2-2008;12.349.589.844;12.505.250.000;12.155.259.766;12.381.019.531;12.365.304.688
25-2-2008;12.380.769.531;12.756.559.570;12.223.570.313;12.266.389.648;12.323.579.590
3-3-2008;12.264.360.352;12.349.669.922;11.819.690.430;11.893.690.430;12.079.025.391
10-3-2008;11.893.040.039;12.303.349.609;11.731.599.609;11.951.089.844;11.922.064.942
17-3-2008;11.946.450.195;12.461.530.273;11.756.599.609;12.361.320.313;12.153.885.254
24-3-2008;12.361.969.727;12.622.070.313;12.196.870.117;12.216.400.391;12.289.185.059
31-3-2008;12.215.919.922;12.696.290.039;12.176.110.352;12.609.419.922;12.412.669.922
7-4-2008;12.612.589.844;12.733.660.156;12.302.059.570;12.325.419.922;12.469.004.883
14-4-2008;12.324.769.531;12.893.980.469;12.269.809.570;12.849.360.352;12.587.064.942
21-4-2008;12.850.910.156;12.942.259.766;12.656.559.570;12.891.860.352;12.871.385.254
28-4-2008;12.890.759.766;13.132.459.961;12.793.099.609;13.058.200.195;12.974.479.981
5-5-2008;13.056.570.313;13.058.450.195;12.715.019.531;12.745.879.883;12.901.225.098
12-5-2008;12.745.549.805;13.001.940.430;12.740.500.000;12.986.799.805;12.866.174.805
19-5-2008;12.985.410.156;13.136.690.430;12.460.089.844;12.479.629.883;12.732.520.020
26-5-2008;12.479.629.883;12.726.660.156;12.442.589.844;12.638.320.313;12.558.975.098
2-6-2008;12.637.669.922;12.638.080.078;12.192.059.570;12.209.809.570;12.423.739.746
9-6-2008;12.210.129.883;12.369.230.469;12.076.929.688;12.307.349.609;12.258.739.746
16-6-2008;12.306.860.352;12.322.820.313;11.818.830.078;11.842.690.430;12.074.775.391
23-6-2008;11.843.830.078;11.986.959.961;11.297.990.234;11.346.509.766;11.595.169.922
30-6-2008;11.345.700.195;11.437.299.805;11.157.209.961;11.288.540.039;11.317.120.117
7-7-2008;11.289.190.430;11.418.240.234;10.977.679.688;11.100.540.039;11.194.865.235
14-7-2008;11.103.639.648;11.510.820.313;10.827.709.961;11.496.570.313;11.300.104.981
21-7-2008;11.495.019.531;11.698.169.922;11.325.099.609;11.370.690.430;11.432.854.981
28-7-2008;11.369.469.727;11.586.620.117;11.125.129.883;11.326.320.313;11.347.895.020
4-8-2008;11.326.320.313;11.759.959.961;11.221.530.273;11.734.320.313;11.530.320.313
11-8-2008;11.729.669.922;11.867.110.352;11.450.889.648;11.659.900.391;11.694.785.157
