title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
The Godfather: Part II,202 min,Crime;Drama,Francis Ford Coppola,Francis Ford Coppola;Mario Puzo;Paramount Pictures;The Coppola Company,Al Pacino;Robert De Niro;Robert Duvall,9.0,842808
The Dark Knight,152 min,Action;Crime;Drama,Christopher Nolan,Jonathan Nolan;Christopher Nolan;Warner Bros.;Legendary Entertainment;Syncopy,Christian Bale;Heath Ledger;Aaron Eckhart,9.0,1775658
